"z_id","address","lat","long","price","beds","baths","sqft","acres","yr_built"
"zpid_75452756","5695-Route-14-Irasburg-VT-05845",44.792409,-72.292672,159900,3,1,NA,10,1978
"zpid_2098786860","158-Nordic-Valley-Way-Troy-VT-05868",44.8588,-72.3913,309000,3,3,NA,6.96,2014
"zpid_2098791951","155-Dragon-Brook-Rd-Middlebury-VT-05753",43.98626,-73.062195,749400,NA,NA,NA,538.7,NA
"zpid_2098805779","Off-Mann-Rd-Wilmington-VT-05363",42.901794,-72.881665,10000,0,0,0,0.25,0
"zpid_75444168","24-Old-City-Falls-Rd-Strafford-VT-05072",43.877396,-72.376635,198500,3,2,1696,0.63,1800
"zpid_2098819190","29-Nosedive-Dr-1-Stowe-VT-05672",44.530284,-72.776654,2850000,4,6,3000,NA,2014
"zpid_2119214823","3-Huntville-Rd-Fairfax-VT-05454",44.671759,-73.015819,310000,3,3,1900,2.82,2016
"zpid_92026242","242-Prospect-St-Brandon-VT-05733",43.803575,-73.09124,167000,3,2,1344,1.3,1880
"zpid_2106933142","3-Margit-Ridgway-Rd-Dover-VT-05356",42.948775,-72.876353,699000,12,16,9000,1,1995
"zpid_2098808085","12B-Upper-Glades-12B-Stratton-VT-05155",43.110335,-72.915091,975000,4,4,2244,NA,1997
"zpid_2112015797","33-Heritage-Dr-West-Dover-VT-05356",42.932231,-72.809218,14000,NA,NA,NA,1,NA
"zpid_92267114","41-Starboard-Way-Colchester-VT-05446",44.545735,-73.292715,289900,3,1,868,73160161.2020202,1960
"zpid_75481404","179-Upper-Turnpike-Rd-Norwich-VT-05055",43.758746,-72.323291,889900,4,4,3670,11,1992
"zpid_118029285","63-King-Rd-Bakersfield-VT-05441",44.781048,-72.792754,157500,3,2,1512,10,2007
"zpid_2098794132","39-Sikes-Rd-Newfane-VT-05351",42.959092,-72.746,399000,NA,1,1290,86.7,1880
"zpid_75412450","2167-Lake-Dunmore-Rd-Leicester-VT-05733",43.874022,-73.063946,214000,3,2,1686,2.1,1935
"zpid_2111680267","53-Fitzgerald-Ave-Brighton-VT-05846",44.810705,-71.883346,169900,5,2,4330,1.43,1860
"zpid_2103938361","29-Gates-Pond-Rd-Whitingham-VT-05361",42.797478,-72.820979,115000,4,2,1800,968320559.27135,1860
"zpid_75423839","105-Bellows-Rd-Stamford-VT-05352",42.796999,-73.033955,339000,3,1,1600,50,1976
"zpid_2098787909","281-Sunrise-Rd-103-Killington-VT-05751",43.597398,-72.773988,112000,NA,1,813,NA,1985
"zpid_2098810801","403-Mountains-Edge-403-West-Windsor-VT-05037",43.461008,-72.468554,125000,3,3,1600,NA,1986
"zpid_2098805777","15-E-Dover-Green-Loop-15-Dover-VT-05356",42.930608,-72.850144,109000,3,2,1150,NA,1980
"zpid_2098790218","73-Alpine-Dr-UNIT-C-208-Killington-VT-05751",43.413654,-72.725574,48000,NA,1,589,NA,1987
"zpid_122763045","1301-Westman-Rd-Cambridge-VT-05444",44.580888,-72.857451,495000,3,3,2759,19.6,1964
"zpid_92296175","628-Bolton-Valley-Access-Rd-Waterbury-VT-05676",44.38026,-72.875981,339000,3,2,1704,3.8,2006
"zpid_75454299","308-Shadow-Ln-Pittsford-VT-05763",43.686085,-72.959191,108500,2,1,970,0.57,1930
"zpid_2106460888","2609-Morgan-charleston-Rd-Charleston-VT-05872",44.0752,-72.6627,169000,3,2,1712,12.2,2002
"zpid_75468999","92-Winch-Vw-Northfield-VT-05663",44.131601,-72.657595,235000,4,2,1968,1,1963
"zpid_118893583","2926-Lake-St-Shoreham-VT-05770",43.927131,-73.390153,159900,NA,1,621,266783750.964348,2007
"zpid_2101219014","223-Sherwood-Sq-Essex-Junction-VT-05452",44.49387,-73.103694,128800,2,1,NA,NA,1979
"zpid_2098805766","Joans-Ridge-Rd-Dover-VT-05356",42.954903,-72.875636,25000,NA,NA,NA,1.1,NA
"zpid_2098821271","485-Summit-Cir-Brattleboro-VT-05301",42.835849,-72.594067,1395000,4,4,5333,41.8,2007
"zpid_115791665","40-Cannon-Dr-Rochester-VT",43.878183,-72.804552,249000,3,2,2000,2.5,2008
"zpid_92008184","185-Ebenezer-Pl-Hyde-Park-VT-05655",44.655229,-72.608984,139000,2,2,904,1.03,1992
"zpid_2098782290","212-Vermont-Route-5a-Orleans-VT-05860",44.507176,-72.358843,109900,NA,NA,NA,15.1,NA
"zpid_2098804675","0-N-Route-30-N-Sudbury-VT-05733",43.793291,-73.204826,70000,NA,NA,NA,5.53,NA
"zpid_2100728581","43-Yeaw-Rd-East-Dover-VT-05341",42.938839,-72.778699,250000,NA,NA,NA,75,NA
"zpid_92291493","50-Briar-Ln-Essex-Junction-VT-05452",44.488705,-73.090186,289000,3,2,2144,0.5,1982
"zpid_92260732","3-Shawns-Way-Essex-Junction-VT-05452",44.48725,-73.102369,344900,3,3,2336,0.43,2003
"zpid_81614329","28-Ridge-View-Rd-Fairfax-VT-05454",44.708733,-73.035401,339900,3,2.5,2905,2.26,2005
