"z_id","address","lat","long","price","saledate","pricepersqft","beds","baths","sqft","acres","yr_built"
"zpid_2098971329","10-12-Saint-Francis-Park-Burlington-VT-05401",44.519708,-73.256578,275000,"4/13/16",124,6,4,NA,NA,NA
"zpid_118032434","1208-Route-44-Brownsville-VT-05037",43.465617,-72.474104,177000,"4/13/16",154,3,1,1144,1,1972
"zpid_92245379","21-White-Lilac-Way-Colchester-VT-05446",44.505334,-73.199094,275000,"4/13/16",NA,NA,NA,NA,0.36,NA
"zpid_75469362","72-Western-Ave-Northfield-VT-05663",44.147099,-72.66358,54900,"4/13/16",57,3,1,960,0.5,1972
"zpid_2098985579","190-Bowenville-Road-Troy-VT-05868",44.953346,-72.347433,176000,"4/12/16",112,3,2,NA,NA,NA
"zpid_92296727","139-Southridge-Rd-Shelburne-VT-05482",44.35883,-73.240009,6e+05,"4/12/16",154,4,4,3894,5.1,1973
"zpid_75441400","1928-Lapland-Rd-Waterville-VT-05492",44.722173,-72.778826,75000,"4/12/16",NA,NA,NA,NA,72.2,NA
"zpid_92278420","192-Depot-Rd-Colchester-VT-05446",44.545267,-73.141793,340000,"4/12/16",150,4,4,2256,1.32,1989
"zpid_92244318","41-Tanglewood-Dr-Essex-Junction-VT-05452",44.502648,-73.063328,319900,"4/12/16",133,4,3,2400,0.6,1969
"zpid_2099010158","32-Route-103-S-BROOKHAVEN-Ludlow-VT-05149",43.3948,-72.6829,135000,"4/11/16",122,3,2,NA,NA,NA
"zpid_92039444","299-Burrington-Hill-Rd-Whitingham-VT-05361",42.771131,-72.864685,155000,"4/11/16",104,2,2,1480,1,1972
"zpid_75422399","143-Barber-Pond-Rd-Pownal-VT-05261",42.79454,-73.2198,180600,"4/11/16",NA,NA,NA,NA,2,NA
"zpid_2099014795","W-Park-Rd-Killington-VT-05751",43.653431,-72.787701,60000,"4/11/16",NA,NA,NA,NA,5,NA
"zpid_54212619","5-Obrien-Dr-South-Burlington-VT-05403",44.460417,-73.17414,260000,"4/11/16",NA,0,0,0,0.239990817263545,0
"zpid_75464932","14-Sunnyside-Dr-Barre-VT-05641",44.168311,-72.451945,155000,"4/11/16",163,3,1,950,0.36,1964
"zpid_92267618","240-Princess-Ann-Dr-Colchester-VT-05446",44.546591,-73.259375,220000,"4/11/16",122,3,1,1800,0.43,1972
"zpid_75464932","14-Sunnyside-Dr-Barre-VT-05641",44.168311,-72.451945,155000,"4/11/16",163,3,1,950,0.36,1964
"zpid_92250409","1067-Jasper-Mine-Rd-Colchester-VT-05446",44.597714,-73.194302,250000,"4/11/16",NA,NA,NA,NA,10,NA
"zpid_75472073","23-High-St-Waterbury-VT-05676",44.337871,-72.75312,212000,"4/11/16",122,3,2,1728,738586958.491736,1900
"zpid_92298551","367-Belwood-Ave-Colchester-VT-05446",44.543096,-73.245601,282500,"4/11/16",107,5,2,2635,0.38,1973
"zpid_2099014795","W-Park-Rd-Killington-VT-05751",43.653431,-72.787701,60000,"4/11/16",NA,NA,NA,NA,5,NA
"zpid_92293296","231-Country-Mdws-Colchester-VT-05446",44.540473,-73.158326,287000,"4/11/16",128,3,2,2238,NA,1990
"zpid_49678151","9-Prouty-Pkwy-South-Burlington-VT-05403",44.458145,-73.167198,320000,"4/11/16",159,3,3,2010,7621903126.3081,1981
"zpid_2101178295","9-W-Main-St-Hyde-Park-VT-05655",44.594314,-72.620353,310000,"4/11/16",144,3,1.75,2139,0.68,2004
"zpid_52954294","1-Steele-St-APT-1-Burlington-VT-05401",44.475135,-73.219612,272775,"4/11/16",272,2,1,1000,NA,1995
"zpid_92008313","654-Diggins-Rd-Hyde-Park-VT-05655",44.631201,-72.550207,475000,"4/11/16",168,4,3,2816,22,1994
"zpid_54211581","8-Derby-Cir-South-Burlington-VT-05403",44.449844,-73.159599,308000,"4/11/16",143,4,1.5,2150,0.000953202629343409,1989
"zpid_90140085","233-Murphy-Rd-Charlotte-VT-05445",44.32123,-73.194331,362000,"4/11/16",174,3,3,2071,1.38,2002
"zpid_54212619","5-Obrien-Dr-South-Burlington-VT-05403",44.460417,-73.17414,260000,"4/11/16",NA,0,0,0,0.239990817263545,0
"zpid_49675524","67-Barrett-St-South-Burlington-VT-05403",44.458797,-73.176528,283000,"4/11/16",118,3,4,2392,7860241151.10135,1975
"zpid_2099021143","218-Indian-Bay-Rd-Bomoseen-VT-05732",43.6146,-73.2271,152200,"4/9/16",169,3,1,NA,NA,NA
"zpid_2099021034","270-Little-Rutland-Rd-Bomoseen-VT-05732",43.6282,-73.2175,280000,"4/9/16",219,2,2,NA,NA,NA
"zpid_2137590710","1286-Route-100-N-Ludlow-VT-05149",43.450759,-72.706512,465000,"4/8/16",322,3,2,1440,737926301.468503,1968
"zpid_92021057","35-Ronaldo-Ct-Rutland-VT-05701",43.608394,-72.96124,133000,"4/8/16",94,3,1,1408,714896398.575872,1965
"zpid_92019823","169-Saint-John-St-Rutland-VT-05701",43.615915,-72.958226,65000,"4/8/16",38,4,2,1686,0.61,1948
"zpid_92274114","7-Onondaga-Ave-Essex-Junction-VT-05452",44.491576,-73.123013,250000,"4/8/16",187,3,2,1334,737683258.998049,1955
"zpid_92269052","35-Brickyard-Rd-Essex-Junction-VT-05452",44.492291,-73.095629,164900,"4/8/16",NA,NA,NA,NA,NA,NA
"zpid_92260767","135-137-North-Ave-Burlington-VT-05401",44.485449,-73.223204,403000,"4/8/16",138,6,2,2917,1430021761.29245,1899
"zpid_92005889","177-Alpine-Mdws-Stowe-VT-05672",44.483409,-72.694163,296000,"4/8/16",171,4,3,1728,0.5,1961
"zpid_75430893","283-Lake-St-Saint-Albans-VT-05478",44.811432,-73.096842,106000,"4/8/16",76,3,1,1382,0.29,1870
"zpid_75488572","44-High-St-Woodstock-VT-05091",43.62244,-72.516242,220000,"4/8/16",NA,NA,NA,NA,0.47,NA
"zpid_92291109","9-Prouty-Pkwy-South-Burlington-VT-05403",44.458311,-73.167183,320000,"4/8/16",NA,4,2.5,NA,0.00097589575753214,1981
"zpid_81625412","200-Town-Line-Rd-Granville-VT-05747",43.955416,-72.815895,248000,"4/8/16",184,NA,3,1344,9,1960
"zpid_92293458","5-Terrien-Rd-Huntington-VT-05462",44.31263,-72.959318,177500,"4/8/16",96,3,2,1836,1,2002
