"z_id","address","lat","long","price","beds","baths","sqft","acres","yr_built"
"zpid_2098862160","12-Ketcham-Dr-12-Essex-Junction-VT-05452",44.479772,-73.127785,309000,3,3,2138,NA,2006
"zpid_75437623","2737-Georgia-Shore-Rd-Saint-Albans-VT-05478",44.747852,-73.185417,325000,3,3,2000,0.26,1991
"zpid_2102181601","14-Brady-Montgomery-VT-05471",44.836796,-72.627844,399900,3,2,1851,10.1,1972
"zpid_12652444","47-N-Winooski-Ave-Burlington-VT-05401",44.481964,-73.211532,449900,5,2,1972,1198283928.18893,1910
"zpid_2144685253","3-Haycorn-Hollow-Rd-South-Hero-VT-05486",44.646869,-73.281661,175000,2,1,732,1,1920
"zpid_2098838489","811-Phillips-Hill-Rd-Halifax-VT-05358",42.736754,-72.767407,219900,2,2,NA,10.4,NA
"zpid_75416974","259-Wind-Hill-Rd-Manchester-Center-VT-05255",43.206741,-73.043731,1395000,4,4,3488,10.7,1992
"zpid_2098862740","24-Greenwoods-Rd-Alburgh-VT-05440",44.991953,-73.227418,75000,3,1,1228,0.5,1890
"zpid_2098853448","0-Old-Depot-Rd-Arlington-VT-05250",43.034552,-73.166661,199000,NA,NA,NA,5.35,NA
"zpid_115812948","590-Ranney-Rd-Stockbridge-VT-05772",43.755996,-72.717208,265000,2,3,1854,2.4,2005
"zpid_92000665","128-Loomis-Ln-Saint-Albans-VT-05478",44.842718,-73.10374,304900,3,3,2356,1.27,2000
"zpid_2141408320","565-Chapel-Rd-Bennington-VT-05201",42.897846,-73.180038,69900,NA,NA,NA,4.1,NA
"zpid_75465326","11-Balsam-Dr-Barre-VT-05641",44.193588,-72.474494,195000,3,2.5,2268,0.32,1963
"zpid_2126158245","918-Lovers-Ln-Chester-VT-05143",43.280862,-72.614787,5e+05,5,3,2710,77,1791
"zpid_75444614","3534-Sawnee-Bean-Rd-Thetford-Center-VT-05075",43.876692,-72.289312,555000,3,2,2317,95,1978
"zpid_2102150633","989-Carlisle-Hl-Goshen-VT-05733",43.861654,-73.015498,339000,0.5,NA,NA,NA,1935
"zpid_92262067","239-Hawley-Rd-Shelburne-VT-05482",44.391734,-73.205847,697000,4,3,3624,0.37,2004
"zpid_75455036","789-E-Main-St-Poultney-VT-05764",43.521495,-73.218757,189900,3,2,2440,0.5,1900
"zpid_2098861869","32-Castlerock-Rd-32-Warren-VT-05674",44.140588,-72.890994,325000,3,2,1300,NA,1978
"zpid_54212304","175-Juniper-Dr-South-Burlington-VT-05403",44.473506,-73.17469,239000,2,3,1700,27,2000
"zpid_75468404","259-Beckley-Hill-Rd-Barre-VT-05641",44.217781,-72.509752,367500,5,3.5,3000,2.42,1985
"zpid_75451014","8-Frog-Pond-Rd-Brownington-VT-05860",44.819603,-72.183807,165000,3,2,1560,3.06,1965
"zpid_92040898","15-Covey-Rd-Brattleboro-VT-05301",42.848963,-72.636632,175000,3,2,1640,0.42,1890
"zpid_92277020","515-Middle-Rd-Milton-VT-05468",44.588198,-73.13068,399900,4,3,3010,10.1,1964
"zpid_92260766","370-Farrell-St-APT-307-South-Burlington-VT-05403",44.449992,-73.20433,155000,NA,1,760,NA,2005
"zpid_92250484","798-Ridgefield-Rd-Shelburne-VT-05482",44.357379,-73.243851,959000,5,5,5800,2.5,1998
"zpid_49678054","27-Pinnacle-Dr-South-Burlington-VT-05403",44.435359,-73.190727,875000,4,4,5600,1.14,1999
"zpid_2098833934","118-Highland-Dr-Montgomery-VT-05471",44.888843,-72.545253,155500,4,3,2074,0.5,1972
"zpid_2098847220","163-Holiday-Pt-Rd-North-Hero-VT-05474",44.882297,-73.244149,178000,3,1,890,1,1947
"zpid_2098826170","20-Old-Snow-Vly-Winhall-VT-05340",43.202401,-72.98889,155000,5,2,1417,0.32,1965
"zpid_2098862365","5-N-Kirk-And-Fitts-Rd-Alburgh-VT-05440",44.980888,-73.308867,129000,2,1,660,49726417.8596419,1966
